,CNation,CCity,Long,Lat,Potential,Wages,Potential_Mean,Wages_Mean,Name,CName,Img_Link,Ability,Age,Foot,Position,Caps_Goals,Length,Weight,Nation
0,France,Paris,2.3200410217200766,48.8588897,100.0,1419680.0,68.49810606060606,24544.280303030304,Lionel Messi,Paris Saint-Germain,https://img.fminside.net/facesfm22/7458500.png,97.0,33.0,Left,Striker,151 / 76,169,67,Argentina
1,Germany,München,11.5753822,48.1371079,95.0,384750.0,68.02046783625731,22653.040935672514,Robert Lewandowski,Bayern München,https://img.fminside.net/facesfm22/719601.png,95.0,32.0,Right,Striker,122 / 69,184,81,Poland
2,England,Manchester,-2.2451148,53.4794892,94.0,397800.0,71.55578093306288,42233.71196754564,Kevin De Bruyne,Manchester City,https://img.fminside.net/facesfm22/18004457.png,94.0,29.0,Right,Midfield,84 / 22,181,68,Belgium
3,England,Liverpool,-2.99168,53.4071991,94.0,263250.0,71.55578093306288,42233.71196754564,Mohamed Salah,Liverpool,https://img.fminside.net/facesfm22/98028755.png,92.0,29.0,Left,Striker,70 / 45,175,72,Egypt
4,England,London,-0.1276474,51.5073219,93.0,234000.0,71.55578093306288,42233.71196754564,Harry Kane,Tottenham,https://img.fminside.net/facesfm22/28049320.png,92.0,27.0,Both,Striker,61 / 38,188,86,England
5,France,Paris,2.3200410217200766,48.8588897,98.0,483000.0,68.49810606060606,24544.280303030304,Kylian Mbappé,Paris Saint-Germain,https://img.fminside.net/facesfm22/85139014.png,92.0,22.0,Right,Striker,48 / 17,178,73,France
6,England,Manchester,-2.2451148,53.4794892,98.0,561600.0,71.55578093306288,42233.71196754564,Cristiano Ronaldo,Man Utd,https://img.fminside.net/facesfm22/735216.png,91.0,36.0,Right,Striker,179 / 109,187,84,Portugal
7,Spain,Madrid,-3.7035825,40.4167047,90.0,322030.0,71.26381909547739,29064.057788944723,Karim Benzema,Real Madrid,https://img.fminside.net/facesfm22/8435089.png,90.0,33.0,Right,Striker,87 / 31,185,82,France
8,England,Liverpool,-2.99168,53.4071991,92.0,280800.0,71.55578093306288,42233.71196754564,Virgil van Dijk,Liverpool,https://img.fminside.net/facesfm22/37024025.png,90.0,29.0,Right,Defenders,38 / 4,193,92,Netherlands
9,France,Paris,2.3200410217200766,48.8588897,95.0,704080.0,68.49810606060606,24544.280303030304,Neymar,Paris Saint-Germain,https://img.fminside.net/facesfm22/19024412.png,90.0,29.0,Right,Striker,111 / 68,175,68,Brazil
10,Germany,München,11.5753822,48.1371079,92.0,346280.0,68.02046783625731,22653.040935672514,Joshua Kimmich,Bayern München,https://img.fminside.net/facesfm22/92039023.png,89.0,26.0,Right,Midfield,59 / 3,177,75,Germany
