CName,CLink,CCity,CFounded,CNation,CLeague,CReputation,CStatus,CBalance,CTransfer_Budget,CTotal_Wages,CRemaining_Wages,CTraining_Facilities,CYouth_Facilities,CYouth_Recruitment,CJunior_Coaching,CBest_XI,CMost_Talented_XI
FC Barcelona,https://fminside.net/clubs/1-fm-21/1708-fc-barcelona,Barcelona,1899,Spain,LaLiga,92,Professional,€ 71M,€ 10M,€ 5M pw,€ 308K pw,90,100,95,90,87,84
Real Madrid,https://fminside.net/clubs/1-fm-21/1736-real-madrid,Madrid,1902,Spain,LaLiga,92,Professional,€ 131M,€ 60M,€ 5M pw,€ 252K pw,90,90,90,90,85,85
Bayern München,https://fminside.net/clubs/1-fm-21/915-bayern-munchen,München,1900,Germany,Bundesliga,91,Professional,€ 439M,€ 60M,€ 4M pw,€ 405K pw,95,95,90,80,85,84
Liverpool,https://fminside.net/clubs/1-fm-21/676-liverpool,Liverpool,1892,England,Premier League,90,Professional,€ 168M,€ 20M,€ 3M pw,€ 259K pw,95,95,80,80,86,79
Manchester City,https://fminside.net/clubs/1-fm-21/679-manchester-city,Manchester,1880,England,Premier League,90,Professional,€ 176M,€ 19M,€ 4M pw,€ 717K pw,100,100,85,80,86,82
Juventus,https://fminside.net/clubs/1-fm-21/1139-juventus,Turin,1897,Italy,Serie A,90,Professional,€ 58M,€ 25M,€ 5M pw,€ 245K pw,90,85,70,65,84,80
Borussia Dortmund,https://fminside.net/clubs/1-fm-21/907-borussia-dortmund,Dortmund,1909,Germany,Bundesliga,88,Professional,€ 88M,€ 10M,€ 2M pw,€ 180K pw,95,90,85,80,79,79
Atlético de Madrid,https://fminside.net/clubs/1-fm-21/1687-atletico-de-madrid,Madrid,1903,Spain,LaLiga,88,Professional,€ 13M,€ 5M,€ 3M pw,€ 129K pw,85,85,85,80,82,81
Chelsea,https://fminside.net/clubs/1-fm-21/630-chelsea,London,1905,England,Premier League,87,Professional,€ 119M,€ 13M,€ 4M pw,€ 259K pw,100,100,90,100,80,84
Paris Saint-Germain,https://fminside.net/clubs/1-fm-21/868-paris-saint-germain,Paris,1970,France,Ligue 1,86,Professional,€ 478M,€ 45M,€ 5M pw,€ 338K pw,80,90,90,85,84,75
Man Utd,https://fminside.net/clubs/1-fm-21/680-man-utd,Manchester,1878,England,Premier League,86,Professional,€ 314M,€ 57M,€ 4M pw,€ 563K pw,100,100,90,90,80,82
Inter,https://fminside.net/clubs/1-fm-21/1135-inter,Milan,1908,Italy,Serie A,85,Professional,€ 48M,€ 23M,€ 3M pw,€ 149K pw,90,85,90,75,80,78
Sevilla,https://fminside.net/clubs/1-fm-21/1759-sevilla,Sevilla,1890,Spain,LaLiga,83,Professional,€ 44M,€ 5M,€ 1M pw,€ 46K pw,80,80,80,80,78,74
FC Porto,https://fminside.net/clubs/1-fm-21/1478-fc-porto,Porto,1893,Portugal,Liga NOS,83,Professional,€ 3M,0,€ 631K pw,€ -4.3K pw,85,75,85,100,75,78
Valencia,https://fminside.net/clubs/1-fm-21/1775-valencia,Valencia,1919,Spain,LaLiga,83,Professional,€ 43M,€ 6M,€ 959K pw,€ 18K pw,80,80,85,85,76,79
Tottenham,https://fminside.net/clubs/1-fm-21/728-tottenham,London,1882,England,Premier League,82,Professional,€ 78M,€ 14M,€ 3M pw,€ 201K pw,100,100,80,80,80,77
Milan,https://fminside.net/clubs/1-fm-21/1099-milan,Milan,1899,Italy,Serie A,82,Professional,€ 35M,€ 17M,€ 2M pw,€ 89K pw,95,85,85,75,78,82
Napoli,https://fminside.net/clubs/1-fm-21/1150-napoli,Naples,1926,Italy,Serie A,82,Professional,€ 36M,€ 17M,€ 2M pw,€ 139K pw,85,60,60,65,80,71
SL Benfica,https://fminside.net/clubs/1-fm-21/1487-sl-benfica,Lisbon,1904,Portugal,Liga NOS,82,Professional,€ 14M,0,€ 789K pw,€ 25K pw,100,100,100,95,76,79
Arsenal,https://fminside.net/clubs/1-fm-21/602-arsenal,London,1886,England,Premier League,81,Professional,€ 151M,€ 5M,€ 3M pw,€ 316K pw,95,80,90,80,79,80
